"deviceType","duration_sec"
"TILE","15489824"
"TILE","14285920"
"TILE","28940"
"TILE","22943275"
"TILE","22329532"
"TILE","8419282"
"TILE","8413086"
"TILE","8405182"
"TILE","28820"
"TILE","27505"
"TILE","25127"
"TILE","23586519"
"TILE","23582074"
"TILE","18397954"
"TILE","19685076"
"TILE","19684160"
"TILE","19682192"
"TILE","19681284"
"TILE","19627378"
"TILE","19585747"
"TILE","19492708"
"TILE","19377441"
"TILE","19374653"
"TILE","19373689"
"TILE","19372765"
"TILE","19369089"
"TILE","19368153"
"TILE","19366300"
"TILE","19365336"
"TILE","19363480"
"TILE","19361580"
"TILE","19360640"
"TILE","19356668"
"TILE","19355732"
"TILE","19353816"
"TILE","19351936"
"TILE","19350964"
"TILE","19332663"
"TILE","19317246"
"TILE","19313578"
"TILE","19311750"
"TILE","19310842"
"TILE","19309922"
"TILE","19308106"
"TILE","19307178"
"TILE","19306258"
"TILE","19305346"
"TILE","19304402"
"TILE","19303474"
"TILE","19300918"
"TILE","19299894"
"TILE","19297302"
"TILE","19282709"
"TILE","19275541"
"TILE","19274041"
"TILE","19253820"
"TILE","19245463"
"TILE","19243139"
"TILE","19240847"
"TILE","19239906"
"TILE","19238995"
"TILE","19238019"
"TILE","19237103"
"TILE","19236195"
"TILE","19235283"
"TILE","19234379"
"TILE","19233447"
"TILE","19232527"
"TILE","19231615"
"TILE","19230679"
"TILE","19229723"
"TILE","19228743"
"TILE","19227787"
"TILE","19226879"
"TILE","19225919"
"TILE","19224998"
"TILE","19224076"
"TILE","19222978"
"TILE","19197274"
"TILE","19191190"
"TILE","19181813"
"TILE","19177733"
"TILE","19166180"
"TILE","19162152"
"TILE","19157219"
"TILE","19153344"
"TILE","19106430"
"TILE","19104578"
"TILE","19102713"
"TILE","19101789"
"TILE","19099017"
"TILE","19098061"
"TILE","19096177"
"TILE","19094305"
"TILE","19093397"
"TILE","19092477"
"TILE","19090653"
"TILE","19089741"
"TILE","19088837"
"TILE","19087000"
"TILE","19086084"
"TILE","19084240"
"TILE","19083328"
"TILE","19082345"
"TILE","19081405"
"TILE","19080437"
"TILE","19079497"
"TILE","19078549"
"TILE","19076709"
"TILE","19074860"
"TILE","19073948"
"TILE","18931354"
"TILE","18926814"
"TILE","18919266"
"TILE","18917622"
"TILE","18909466"
